"FeatureName","ControlID","Description","ControlSeverity","IsBaselineControl","IsPreviewBaselineControl","Rationale","Recommendation","Automated","SupportsAutoFix","Tags"
"DataFactory","Azure_DataFactory_Config_Lockdown_DMG_Server","Data Management Gateway (DMG), if used, must be installed on a locked down machine","Moderate","No","No","The DMG machine is serving as a 'gateway' into the corporate environment allowing endpoint in the cloud access to enteprise data. Using a locked-down, secure baseline configuration ensures that this machine does not get leveraged as an entry point to the downstream data server/service.","Use Windows Server lockdown templates to minimize the attack surface available. For the most critical scenarios, consider using Code Integrity feature as well.","No","No","SDL, TCP, Manual, DataFactory, Config"
"DataFactory","Azure_DataFactory_Deploy_Register_DMG_Securely","Data Management Gateway (DMG), if used, must be registered in secure way","Moderate","No","No","Data Management Gateway(DMG) tool is required to connect data sources which are hidden behind corpnet/firewall. DMG tool needs to be installed and registered on a machine which has access to data source.The gateway key needs to be exchanged between Azure Portal and DMG tool for registration. Manual handling of this key may impose an operational risk and thus registration of DMG tool must be done via PowerShell.","Use a PowerShell-based approach to register the tool instead of manually handling the key to minimize operational risk. Refer:  https://docs.microsoft.com/en-us/azure/data-factory/data-factory-data-management-gateway#powershell-cmdlets","No","No","SDL, TCP, Manual, DataFactory, Deploy"
"DataFactory","Azure_DataFactory_DP_Rotate_Gateway_Key","Data Gateway key (on Azure Portal) must be rotated periodically","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Rotate the Data Gateway key every six months or whenever the DMG service account password is renewed in order to reduce risk from brute force key-guessing attacks.","No","No","SDL, TCP, Manual, DataFactory, DP"
"DataFactory","Azure_DataFactory_AuthZ_Use_Svc_Acct_for_DMG","Linked Service must be setup using a service account when Data Management Gateway is used ","Moderate","No","No","Using a service account with access to the data tier eliminates the need to manage a separate account/connection string that DMG would otherwise need to use to access the backend data.","Configuration of Linked Service involves credentials (username, password etc.) for the target data source. The service account used to run the DMG may be granted access to the target data source. This can let us leverage integrated authentication and do away with the need to store credentials.","No","No","SDL, TCP, Manual, DataFactory, AuthZ"
"DataFactory","Azure_DataFactory_Audit_Enable_Logging_and_Monitoring","Monitoring must be enabled for Azure Data Factory","Moderate","No","No","Auditing enables log collection of important system events pertinent to security. Regular monitoring of audit logs can help to detect any suspicious and malicious activity early and respond in a timely manner.","Refer: https://docs.microsoft.com/en-us/azure/data-factory/data-factory-monitor-manage-app","No","No","SDL, TCP, Manual, DataFactory, Audit"
"DataFactory","Azure_DataFatory_AuthN_DataLakeStore_LinkedService","Data lake store linked service in Data Factory must be configured with service-to-service authentication","Important","No","No","If user credentials are employed, there may be downtime due to token expiration.","Use service principal based authentication in the data lake store linked service. Refer: https://docs.microsoft.com/en-us/azure/data-factory/data-factory-azure-datalake-connector#linked-service-properties","No","No","SDL, TCP, Manual, DataFactory, AuthN"
"DataFactory","Azure_DataFatory_BCDR_Multiple_Node_DMG","To ensure high availability multiple nodes should be configured on DMG","Important","No","No","DMG configured on multiple node ensures that another node is available for moving data even if one of the nodes goes down.","Refer: https://docs.microsoft.com/en-us/azure/data-factory/data-factory-data-management-gateway-high-availability-scalability#set-up-a-multi-node-gateway","No","No","SDL, TCP, Manual, DataFactory, BCDR"
"DataFactory","Azure_DataFactory_DP_Encrypt_Node_To_Node_Communication","For multi-node gateway, node to node communication must be encrypted with valid TLS/SSL certificate","Important","No","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","For each DMG node following: Go to Data Management Gateway Application --> After Registration --> Settings Tab --> Node-Node Communication Encryption Mode --> Change. Upload a valid certificate which fulfils https://docs.microsoft.com/en-us/azure/data-factory/data-factory-data-management-gateway-high-availability-scalability#tlsssl-certificate-requirements requirements.","No","No","SDL, TCP, Manual, DataFactory, DP"
"DataFactory","Azure_DataFactory_BCDR_DMG_Configuration_Backup","Use backup feature to keep a snapshot of DMG configurations","Moderate","No","No","Keeping backup of DMG config ensures that there is always a previous snapshot that can be leveraged to restore configurations quickly during a recovery scenario.","Go to Data Management Gateway Application --> After Registration --> Home Tab --> Generate Backup --> Provide strong password.","No","No","SDL, Best Practice, Manual, DataFactory, BCDR"
"DataFactory","Azure_DataFactory_DP_Encrypt_Credentials_LinkedService","Encrypt credentials in Linked Service while configuring Data Factory (Applicable only for Linked Services which require Gateway)","Important","No","No","By using this configuration, credentials will be transmitted in encrypted format to the DMG which connects to the data source. This ensures that on-premise data source is accessible only through DMG as only DMG can decrypt the credential.","Refer: https://docs.microsoft.com/en-us/azure/data-factory/data-factory-data-management-gateway#encrypting-credentials","No","No","SDL, TCP, Manual, DataFactory, DP"
"DataFactory","Azure_DataFactory_BCDR_Config_Fault_Tolerance","Configure fault tolerance in copy activity to handle incompatible data","Moderate","No","No","In case of incompatible data flowing through the ADF channel, the default behavior will abort the copy activity. A fault tolerant configuration is helpful to continue copy activity by skipping and logging incorrect data.","Refer: https://docs.microsoft.com/en-us/azure/data-factory/data-factory-copy-activity-fault-tolerance#configuration","No","No","SDL, Best Practice, Manual, DataFactory, BCDR"
"EventHub","Azure_EventHub_AuthZ_Dont_Use_Policies_At_Event_Hub_Namespace","Event Hub clients (event senders or receivers) must not use 'namespace' level access policies","Moderate","No","No","A 'namespace' level access policy provides access to all Event Hub in a namespace. However, using an access policy at entity (Event Hub) level provides access only to the specific entity. Thus using the latter is inline with the principle of least privilege.","Remove all the authorization rules from Event Hub namespace except RootManageSharedAccessKey using Remove-AzEventHubAuthorizationRule command. Run 'Get-Help Remove-AzEventHubAuthorizationRule -full' for more help. Use the Azure portal to configure shared access policies with appropriate claims at the specific Event Hub scope.","Yes","No","SDL, TCP, Automated, AuthZ, EventHub"
"EventHub","Azure_EventHub_AuthZ_Use_Min_Permissions_Access_Policies","Access policies must be defined with minimum required permissions to the Event Hub","Moderate","No","No","Granting minimum access ensures that users are granted just enough permissions to perform their tasks. This minimizes the set of operations that can be preformed on the resource by an attacker in case of access policy key compromise.","Ensure that client apps use shared access policies with the least required privilege and at the Event Hub scope. For instance, if the client app is only reading events from the event hub (as opposed to sending), then the policy used must only include the 'Listen' claim. Refer: https://docs.microsoft.com/en-us/azure/event-hubs/event-hubs-authentication-and-security-model-overview","Yes","No","SDL, TCP, Automated, AuthZ, EventHub"
"EventHub","Azure_EventHub_DP_Protect_Keys_At_Rest","Access policy keys must be protected at rest","Important","No","No","Using this feature ensures that sensitive data is stored encrypted at rest. This minimizes the risk of data loss from physical theft and also helps meet regulatory compliance requirements.","Access policy keys must be handled in a secure manner. E.g., Access policy keys can be stored in the application settings on the Azure portal for a Web App, or can be stored in a Key Vault. The approach to protect the key may vary based on the Azure feature and scenario from where Event Hubs are consumed.","No","No","SDL, TCP, Manual, DP, EventHub"
"EventHub","Azure_EventHub_DP_Rotate_Keys","Access policy keys must be rotated periodically","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Use New-AzEventHubKey -ResourceGroupName <ResourceGroupName> -Namespace <NamespaceName> -EventHub <EventHubName> -Name <AuthorizationRuleName> -RegenerateKey PrimaryKey/SecondaryKey to regenerate Event Hub key. Use New-AzEventHubKey -ResourceGroupName <ResourceGroupName> -Namespace <NamespaceName> -Name <AuthorizationRuleName> -RegenerateKey PrimaryKey/SecondaryKey to regenerate namespace key. Caution: Make sure that the newly generated keys are seamlessly deployed to clients to avoid disruption of functionality.","No","No","SDL, TCP, Manual, DP, EventHub"
"EventHub","Azure_EventHub_Audit_Review_Logs","Audit logs for Event Hub entities should be reviewed periodically","Moderate","No","No","Periodic reviews of diagnostics, activity and audit logs ensures that anomalous activity can be identified early enough instead of after a major compromise.","Audit log can be reviewed at Portal -> Event Hub -> <Your Event Hub Name> -> Diagnostics Logs","No","No","SDL, Best Practice, Manual, Audit, EventHub"
"EventHub","Azure_EventHub_DP_Encrypt_In_Transit","Sensitive data must be encrypted in transit","Important","No","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","Default behavior. No action required.","No","No","SDL, Information, Manual, DP, EventHub"
"EventHub","Azure_EventHub_AuthZ_Use_Min_Token_Lifetime","Expiry time of SAS token should be minimum required","Moderate","No","No","If SAS token gets compromised, unauthorized users can access Event Hub entities. Minimizing the validity period of the SAS token ensures that the window of time available to an attacker in the event of compromise is minimized.","Set expiry time of SAS tokens to the minimum required in context of the scenario. Refer: https://docs.microsoft.com/en-us/azure/service-bus-messaging/service-bus-sas#generate-a-shared-access-signature-token","No","No","SDL, Best Practice, Manual, AuthZ, EventHub"
"EventHub","Azure_EventHub_AuthN_Use_Publisher_Token","Use 'Publisher' tokens to authenticate senders instead of 'Access Policy' tokens","Moderate","No","No","Publisher tokens offer a scalable option when there are a large number of senders involved. Individual time-bound SAS tokens can be created via inheritance from a shared policy so the damage from compromise of any single token is contained. Also, all publisher tokens generated by same policy can be decommisioned by simply decommisioning the corresponding access policy.","Generate 'Publisher' tokens by combining an access policy that has 'Send' claim with an event publisher ID for each publisher. Using this mechanism each publisher will be able to send to only its own virtual endpoint. Refer: https://blogs.msdn.microsoft.com/servicebus/2015/02/02/event-hub-publisher-policy-in-action/","No","No","SDL, Best Practice, Manual, AuthN, EventHub"
"EventHub","Azure_EventHub_AuthZ_Grant_Min_RBAC_Access","All users/identities must be granted minimum required permissions using Role Based Access Control (RBAC)","Moderate","No","No","Granting minimum access by leveraging RBAC feature ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Administrator should assign 'Owner' role to Event Hub at the 'resource' scope. Application developers should not have direct access to the Event Hub resource (they should just be provided the required shared access policy for a non-production event hub). Auditors should have 'Monitor Contributor Service Role' or 'Monitor Reader Service Role' based on their role.","Yes","No","SDL, TCP, Automated, AuthZ, RBAC, EventHub"
"EventHub","Azure_EventHub_Audit_Enable_Diagnostics_Log","Diagnostics logs must be enabled with a retention period of at least 365 days","Moderate","No","No","Logs should be retained for a long enough period so that activity trail can be recreated when investigations are required in the event of an incident or a compromise. A period of 1 year is typical for several compliance requirements as well.","You can change the diagnostic settings from the Azure Portal by following the steps given here: https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitoring-archive-diagnostic-logs#archive-diagnostic-logs-using-the-portal","Yes","No","SDL, TCP, Automated, Audit, Diagnostics, EventHub"
"SQLDatabase","Azure_SQLDatabase_AuthZ_Use_AAD_Admin","Enable Azure AD admin for the SQL Database","Important","Yes","No","Using the native enterprise directory for authentication ensures that there is a built-in high level of assurance in the user identity established for subsequent access control. All Enterprise subscriptions are automatically associated with their enterprise directory (xxx.onmicrosoft.com) and users in the native directory are trusted for authentication to enterprise subscriptions.","Run command Set-AzSqlServerActiveDirectoryAdministrator -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -DisplayName '{AzureAdAdmin Display Name}' Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/set-azsqlserveractivedirectoryadministrator","Yes","Yes","SDL, TCP, Automated, AuthZ"
"SQLDatabase","Azure_SQLDatabase_DP_Enable_TDE","Transparent data encryption (TDE) must be enabled","Important","Yes","No","Using this feature ensures that sensitive data is stored encrypted at rest. This minimizes the risk of data loss from physical theft and also helps meet regulatory compliance requirements.","Run command Set-AzSqlDatabaseTransparentDataEncryption -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -DatabaseName '{DatabaseName}' -State 'Enabled'. Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/set-azsqldatabasetransparentdataencryption *Note:If Blob Auditing or Threat Detection are enabled on the server, they will always apply to the database, regardless of the database level settings.","Yes","Yes","SDL, TCP, Automated, DP, SOX, SqlDatabase"
"SQLDatabase","Azure_SQLDatabase_Audit_Enable_Threat_Detection_Server","Enable SQL Server threat detection with email admins option. Do not exclude any detection types","Important","Yes","No","Enabling threat detection helps generate alerts about suspicious activity that might indicate attacks such as SQL Injection, login from a new location, unusual usage patterns and related attacks in a timely manner.","First run command 'Set-AzSqlServerAuditing -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -StorageAccountName '{StorageAccountName}' -State 'Enabled' -RetentionInDays 365'.Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/set-azsqlserverauditing. Then run command 'Set-AzSqlServerThreatDetectionPolicy -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -StorageAccountName '{StorageAccountName}' -EmailAdmins $true -ExcludedDetectionType 'None''.","Yes","Yes","SDL, TCP, Automated, Audit, SOX"
"SQLDatabase","Azure_SQLDatabase_AuthZ_Use_IP_Firewall_Rules_DB","In a SQL Server with multiple databases, setup firewall rules also at the database level","Important","No","No","Using the IP firewall rules ensures that access to the data or the service is restricted to a specific set of IPs. NOTE: While this control does provide an extra layer of access control protection, it may not always be feasible to implement in all scenarios.","Wherever feasible, restrict each SQL Database to a limited set of IP addresses/ranges that require access to that database. Refer: https://docs.microsoft.com/en-us/azure/sql-database/sql-database-firewall-configure. Note: In case the IP range is indeterminate (for instance, if the client is a PaaS endpoint), you may need to attest this control.","No","No","SDL, TCP, Manual, AuthZ, SqlDatabase"
"SQLDatabase","Azure_SQLDatabase_AuthN_Dont_Use_SQL_AuthN","Do not use SQL Authentication. Use AAD-authentication instead","Important","No","No","Using the native enterprise directory for authentication ensures that there is a built-in high level of assurance in the user identity established for subsequent access control. All Enterprise subscriptions are automatically associated with their enterprise directory (xxx.onmicrosoft.com) and users in the native directory are trusted for authentication to enterprise subscriptions.","Disable SQL Authentication on the DB and use AAD authentication instead. Refer: https://docs.microsoft.com/en-us/azure/sql-database/sql-database-aad-authentication","No","No","SDL, TCP, Manual, AuthN"
"SQLDatabase","Azure_SQLDatabase_DP_Use_Client_Side_Encryption","Client-side encryption should be used where appropriate","Moderate","No","No","Using client-side encryption in 'Always Encrypted' mode helps protect sensitive data at rest on the server, during movement between client and server and ensures that only client applications or app servers that have access to the encryption keys can access plaintext data.","The recommended client side encryption solution is 'Always Encrypted'. Refer: https://docs.microsoft.com/en-us/azure/sql-database/sql-database-always-encrypted","No","No","SDL, TCP, Manual, DP"
"SQLDatabase","Azure_SQLDatabase_AuthZ_Grant_Min_Access","Access to SQL Servers and DBs must be granted in accordance with the principle of least privilege","Moderate","No","No","Granting minimum access ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Using SSMS Object Explorer and T-SQL to assign database roles, e.g. db_datareader, db_datawriter, db_securityadmin: Alter Role db_datareader ADD MEMBER ApplicationUser; to allow ApplicationUser to read data, Alter Role db_datawriter ADD MEMBER ApplicationUser; to allow ApplicationUser to write data. Refer: https://azure.microsoft.com/en-us/documentation/articles/sql-database-security/#authorization, http://blogs.technet.com/b/scotts-it-blog/archive/2014/09/03/adding-accounts-to-database-roles-in-sql-server-2012.aspx","No","No","SDL, TCP, Manual, AuthZ"
"SQLDatabase","Azure_SQLDatabase_AuthZ_Configure_IP_Range","Configure only the required IP addresses on SQL firewall. Do not use Any-to-Any IP range 0.0.0.0-255.255.255.255","Important","No","No","Using the firewall feature ensures that access to the data or the service is restricted to a specific set/group of clients. NOTE: While this control does provide an extra layer of access control protection, it may not always be feasible to implement in all scenarios.","Do not configure Any to Any firewall IP address. Run command Remove-AzSqlServerFirewallRule -FirewallRuleName '{AnyToAny FirewallRule Name}' -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}'. Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/Remove-AzSqlServerFirewallRule","Yes","No","SDL, Best Practice, Automated, AuthZ, SOX"
"SQLDatabase","Azure_SQLDatabase_Audit_Enable_Logging_and_Monitoring_Server","Enable SQL Server audit with selected event types and retention period of minimum 365 days","Moderate","No","No","Auditing enables log collection of important system events pertinent to security. Regular monitoring of audit logs can help to detect any suspicious and malicious activity early and respond in a timely manner.","Run command Set-AzSqlServerAuditing -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -StorageAccountName '{StorageAccountName}' -State 'Enabled' -RetentionInDays 365. Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/set-azsqlserverauditing","Yes","Yes","SDL, TCP, Automated, Audit, SOX"
"SQLDatabase","Azure_SQLDatabase_Audit_Review_Logs_Periodically","Logs should be reviewed routinely","Moderate","No","No","Periodic reviews of diagnostics, activity and audit logs ensures that anomalous activity can be identified early enough instead of after a major compromise.","Use Azure SQL Audit Logs Excel template to review logs. Refer: https://docs.microsoft.com/en-us/azure/sql-database/sql-database-auditing#subheading-3","No","No","SDL, TCP, Manual, Audit"
"SQLDatabase","Azure_SQLDatabase_DP_Review_Data_Masking_Policy","Review the Data Masking policy for SQL Database sensitive data columns if in use.","Moderate","No","No","Database dynamic data masking limits sensitive data exposure by masking it to non-privileged users and hides the sensitive data in the result set of a query over designated database fields. When used dynamic data masking should cover all sensitive columns.","(As applicable) Set Data Masking Rules using the following steps: (1) Run command Set-AzSqlDatabaseDataMaskingRule -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}' -DatabaseName '{DataBaseName}' -SchemaName '{SchemaName}' -TableName  '{TableName}' -ColumnName '{ColumnName}'. Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/set-azsqldatabasedatamaskingrule (2) Verify the privileged users to whom access is granted to view Unmasked data columns.","Yes","No","SDL, TCP, Automated, Deploy"
"SQLDatabase","Azure_SQLDatabase_AuthZ_Firewall_Deny_Access_AzureServices","Use the 'Allow access to Azure services' flag only if required.","Moderate","No","No","The 'Allow access to Azure services' setting configures a very broad range of IP addresses from Azure as permitted to access the SQL Server. Please make sure your scenario really requires this setting before enabling it. Turning it ON exposes your SQL Server to risk of attacks from resources (IPs) owned by others in the Azure region.","Turn off the allow access to Azure services flag. Run command Remove-AzSqlServerFirewallRule -FirewallRuleName 'AllowAllWindowsAzureIps' -ResourceGroupName '{ResourceGroupName}' -ServerName '{ServerName}'. Refer: https://docs.microsoft.com/en-us/powershell/module/az.sql/remove-azsqlserverfirewallrule","Yes","No","SDL, Best Practice, Automated, AuthZ, SOX"
"ServiceFabric","Azure_ServiceFabric_AuthN_Publicly_Exposed_MicroSvc","Publicly exposed microservice endpoints must have authentication and authorization enforced","Important","No","No","If authentication and authorization are not correctly implemented, microservice endpoints may be easily accessed by anyone on the internet leading to compromise of sensitive data.","Authentication and access control must be implemented on publicly exposed microservices using standard mechanisms for user/client authentication.","No","No","SDL, TCP, Manual, AuthN, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_DP_Exposed_Endpoint_SSL_Secured","Publicly exposed endpoints must be secured using SSL","Important","No","No","Use of SSL ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","Azure Service Fabric supports configuration of endpoints for microservices. To provide end to end encryption and data integrity, all publicly exposed endpoints must be secured using SSL. Steps to configure SSL: (1) Specify HTTPS endpoint in ServiceManifest.xml at ServiceManifest --> Resources --> Endpoints, (2) Specify certificate details in ApplicationManifest.xml <i> Add an EndpointBindingPolicy at ApplicationManifest --> ServiceManifestImport --> Policies <ii> Add an EndpointCertificate at ApplicationManifest --> Certificates (3) Upload certificate to cluster (Refer: https://azure.microsoft.com/en-in/documentation/articles/service-fabric-service-manifest-resources/#example-specifying-an-https-endpoint-for-your-service)","Yes","No","SDL, TCP, Manual, DP, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_DP_App_Secrets_Cert_Encrypted","Application secrets must be encrypted with a certificate","Important","No","No","Protecting the connection string, storage account keys, password, etc., (stored in Settings.xml file in ConfigPackage of microservice, ServiceManifest.xml and ApplicationManifest.xml) ensures that these secrets do not get compromised through copies of the settings/manifest files that might be left unprotected on various systems.","An application typically contains secrets, such as connection string, storage account keys, password etc., which are required at runtime. Application secrets can be stored in Settings.xml file in ConfigPackage of microservice, ServiceManifest.xml and ApplicationManifest.xml. These secrets must be encrypted with a certificate. Steps to encrypt a secret: (1) Obtain a data encipherment certificate. (2) Install the certificate on cluster. (3) Encrypt secret values when deploying an application with the certificate and inject them into Settings.xml/ServiceManifest.xml/ApplicationManifest.xml file. (4) Read encrypted values out of Settings.xml and decrypt them with the same encipherment certificate. Refer:  https://azure.microsoft.com/en-us/documentation/articles/service-fabric-application-secret-management/","No","No","SDL, TCP, Manual, DP, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_DP_Data_Replication_Cert_Secured","Data replication must be secured with certificate","Moderate","No","No","The replication traffic of microservices must be protected using a certificate so that microservices are not be able to see each others' replication traffic.","Service Fabric Replicator Service is responsible for making the state of Stateful service highly reliable. Replicator security configurations must be used to secure the communication channel that is used during replication. Doing this ensures that services within the same cluster will not be able to see each other's replication traffic, ensuring that the data that is made highly available is also secure. Note that by default an empty security configuration section implies no replication security. Refer 'Sample configuration file' at:  https://azure.microsoft.com/en-in/documentation/articles/service-fabric-reliable-services-configuration/#_replicator-security-configuration","No","No","SDL, TCP, Manual, DP, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_DP_Sensitive_Data_Dont_Store_In_DataPackage","Sensitive data must not be stored inside DataPackage","Important","No","No","DataPackage files can be accessed from other microservices running on same node (VM). DataPackage files get distributed along with the application package while publishing/deployment. This can lead to compromise of any sensitive data as copies of these deployment packages are often left unprotected.","DataPackage is intended to store static files which are required by microservices at runtime. Files inside DataPackage are NOT intended to be modified at runtime. DataPackage must not contain any file containing sensitive data, because: (1) DataPackage files can be accessed from other microservices running on same node (VM) and (2) DataPackage files gets distributed along with the application package when the application is published.","No","No","SDL, TCP, Manual, DP, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_Availability_Replica_Stateful_Size_Set_Min_3","Replica set size for stateful services must be set to a minimum of 3","Moderate","No","No","A replica set size of 3 or more in the case of stateful services ensures that data is not lost in the event of a single node failure.","The replica set size of a Stateful service indicates the number of copies of reliable service data maintained by Service Fabric. The data in reliable service must not be lost even if a node (VM) goes down. However, if the replica set size is 1, data loss is possible. To achieve high availability, each stateful service must have a target and minimum replica set size of at least 3. Set the values for all Stateful services in ApplicationManifest.xml file as below: (1) ApplicationManifest --> DefaultServices --> Service --> StatefulService --> MinReplicaSetSize, (2) ApplicationManifest --> DefaultServices --> Service --> StatefulService --> TargetReplicaSetSize. Refer: https://azure.microsoft.com/en-in/documentation/articles/service-fabric-concepts-partitioning/","Yes","No","SDL, TCP, Manual, Availability, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_Availability_Instance_Stateless_Size_Set_Min_3","Instance count for stateless service must be set to a minimum of 3","Moderate","No","No","An instance count of 3 or more guarantees high availability for stateless services in the event of a single node failure.","The instance count reflects the number of instances of a stateless service that should be running in the cluster. To achieve high availability, each stateless service must have an instance count of at least 3. Set this value to 3 for all stateless services in ApplicationManifest.xml file at ApplicationManifest --> DefaultServices --> Service --> StatelessService --> InstanceCount","Yes","No","SDL, TCP, Manual, Availability, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_AuthZ_Security_Mode_Enabled","Service Fabric cluster security must be enabled using security mode option","Important","No","No","A secure cluster prevents unauthorized access to management operations, which includes deployment, upgrade, and deletion of microservices. Also provides encryption for node-to-node communication, client-to-node communication etc. In oppose to unsecure cluster which can be connected by any anonymous user.","A secure cluster must be created to prevent unauthorized access to management operations (e.g., deployment, upgrade or deletion of microservices). A secure cluster also provides encryption for node-to-node communication, client-to-node communication, etc. An insecure cluster is open to be connected by any anonymous user. An insecure cluster cannot be secured at a later time. For creating a secure cluster using (1) Azure Portal, refer: https://azure.microsoft.com/en-in/documentation/articles/service-fabric-cluster-creation-via-portal/#_3-security or using (2) ARM template refer:https://azure.microsoft.com/en-in/documentation/articles/service-fabric-cluster-creation-via-arm/","Yes","No","SDL, TCP, Automated, AuthZ, Information, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_AuthZ_Microservice_Trust","Service Fabric cluster must contain only microservices which trust each other","Important","No","No","Microservice hosted on same Service Fabric cluster can monitor traffic of other microservices and access the files hosted on cluster. Hence the same Service Fabric cluster must not host microservices which do not trust each other.","Microservices hosted on same Service Fabric cluster can monitor traffic of other microservices and access the files hosted on cluster. Hence a Service Fabric cluster must contain only those microservices which trust each other.","No","No","SDL, TCP, Manual, AuthZ, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_AuthN_Self_Signed_Cert","Self-signed certs must not be used for Service Fabric cluster primary certificate","Important","No","No","The primary certificate of Service Fabric must be obtained from a trusted certification authority. This ensures that client applications/endpoints can validate the identities of microservices in the cluster in a secure manner.","Service Fabric uses an X.509 certificate for cluster security in a couple of ways: (1) Cluster authentication: For authentication of node-to-node communication and (2) Server authentication: For authentication of cluster management endpoints to management clients. The primary certificate is also for the HTTPS access to the management API and the Service Fabric Explorer. This certificate must be obtained from an approved Certificate Authority for a custom domain name for your cluster.","Yes","No","SDL, TCP, Automated, AuthN, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_AuthN_Client_AuthN_AAD_Only","Client authentication must be performed only via Azure Active Directory","Important","Yes","No","Using the native enterprise directory for authentication ensures that there is a built-in high level of assurance in the user identity established for subsequent access control. All Enterprise subscriptions are automatically associated with their enterprise directory (xxx.onmicrosoft.com) and users in the native directory are trusted for authentication to enterprise subscriptions.","A Service Fabric cluster offers several entry points to its management functionality, including the web-based Service Fabric Explorer, Visual Studio and PowerShell. Access to the cluster must be controlled using AAD. Refer: https://docs.microsoft.com/en-in/azure/service-fabric/service-fabric-cluster-creation-setup-aad","Yes","No","SDL, TCP, Automated, AuthN, ServiceFabric, Windows"
"ServiceFabric","Azure_ServiceFabric_DP_Set_Property_ClusterProtectionLevel","The ClusterProtectionLevel property must be set to EncryptAndSign","Important","No","Yes","With cluster protection level set to 'EncryptAndSign', all the node-to-node messages are encrypted and digitally signed. This protects the intra-cluster communication from eavesdropping/tampering/man-in-the-middle attacks on the network.","Service Fabric provides three levels of protection (None, Sign and EncryptAndSign) for node to node communication using cluster primary certificate. The protection level can be specified using property 'ClusterProtectionLevel' inside Service Fabric ARM template. The value of 'ClusterProtectionLevel' must be set to 'EncryptAndSign' to ensure that all the node-to-node messages are encrypted and digitally signed. Configure 'ClusterProtectionLevel' using ARM template as follows: ARM Template --> Resources --> Select resource type 'Microsoft.ServiceFabric/clusters' --> 'fabricSettings' --> Add 'ClusterProtectionLevel' property with value 'EncryptAndSign'.","Yes","No","SDL, TCP, Automated, DP, ServiceFabric, Windows, Linux"
"ServiceFabric","Azure_ServiceFabric_AuthN_NSG_Enabled","Network security group (NSG) must be enabled on subnets of Service Fabric cluster","Moderate","No","No","Use of appropriate NSG rules can limit exposure of Service Fabric cluster in multiple scenarios. For example, RDP connections can be restricted only for specific admin machines. Incoming requests to microservices may be restricted to specific clients. Also, deployments can be restricted to happen only from an allowed range of IP addresses.","NSG contains a list of Access Control List (ACL) rules that allow or deny network traffic to Service Fabric node instances in a Virtual Network. NSGs can be associated with either subnets or individual node/VM instances within a subnet. NSG must be used in following scenarios: (1) Restrict RDP connection only from admin machine IP,  (2) Restrict microservice incoming request from trusted source IP, (3) Lock down the remote address ranges allowed for microservice deployments. Refer: https://azure.microsoft.com/en-in/documentation/articles/virtual-networks-create-nsg-arm-pportal/","Yes","No","SDL, TCP, Automated, AuthN, ServiceFabric, Windows, Linux"
